text,label
pesan resmi dr pt.tricare slamat no anda tpilih mndpt hadiah 1unit mobil honda jazz pin pmenang anda 454647lm u info klik,penipuan
"bagi yang sudah diuji segera diserahkan dgn dijilid, bagi yg sdg nunggu diuji sabar tuk sesuaikan waktupenguji..",normal
"hari terakhir! kunjungi galeri smartfren skrng, buat kamu andromax a 4g jd 99rb nrml 649rb . tunggu apa lagi?!stok terbatas.sd 22agt.s k.info88.dl46j",promo
pembayaran nya bulan ini kalau mau di bayar harap telpon sms dulu ke atasan kami bpk.dedy. hp 08522118517.terima kasih.,penipuan
uangnya di trnsfer di bni ini aja a n rastina no.rek.0253 7915 37.klo sdh d trnsfer sms aja di no ini 08529335598 trmks.,penipuan
"semau maunya kita ama orang, gak bakal jadi kalau gak jodoh. segeleh gelehnya pasti bakal nikah kalopun jodoh",normal
mau nitip ga saya lagi di gerlong.,normal
"toko jember promo discon 50 keyboard yahama dakota rp. 2,8 jt, onix3 rp. 2,2 jt, gemini rp. 800 rb info sms 085234234117 pin bb 295c6d02",penipuan
promo diperpanjang! gratis mifi modem 4g hanya untukmu. tunjukan sms ini di galeri smartfren isi pulsa 100rb utk bawa pulang mifi favoritmu. s d23nov. dl40k,promo
"selamat tambahan flash anda sudah aktif, berlaku s.d. 2016 08 07 23 59 59.",promo
kalo engga belakang aqila ada 600 bulan gatau masih apa engga deh,normal
selamat anda pemenang undian pop mie mendapatkan hadiah 1unit mobil nissan juke pin anda b89c7h9 untuk info klik situs kami di,penipuan
"ribet bolak balik cek pulsa cek sisa kuota internetmu? download aja aplikasi mycare, hanya 1x klik semua jadi mudah. akses di",promo
pesan resmi selamat no simcard anda m dptkan hadiah cek rp.100juta dr tri care pin 7y7r8k9z info kelik,penipuan
selamat no.sim card anda m dptkan hadiah 1 unit mobil toyota yaris pin 8jf2177 u info hub 0895343233477 klik awas penipuan,penipuan
"hayu dateng, mumpung ada ustad fatih karim,beliau yg mengislamkan ustad felix siaw",promo
"pesan resmi dri tri 3care, slmt anda mdpt hadiah 1 unit mobil honda jazz rs. no.pin pemenang anda 47bl759. utk info kunjungi",penipuan
manfaatkan segera creditcard anda utk apply pinjaman 20 250jt ada cashback berminat hub bintang 021 27450166.tks,penipuan
kalian udh brp kali bimbingan? ngomongin apa aja aku blm pernah,normal
gaais dlm semenit aja aku jd nasabah btpn wkwk,normal
abis maghrib yaa,normal
"raih smartphone, diskon merchant free internet, voice, sms di promo 71 tahun ri dengan tukar 17 telkomsel poin mulai 15ags16 hanya di mytelkomsel apps",promo
isi ulang pulsa rp.500 regular oleh hd com 4 sukses pada 09 02 12 34.ref 763179369.gratis pulsa sd 250rb hg 7hr 7mlm.ktk gratis krm ke 123,penipuan
"untuk yg kontrak game prog dan juga dwm kita jadwalkan untuk ikut gemastik. ini kompetisi terbesar antar prodi ilkom if, dan kita punya peluang besar untuk bidang ini.",normal
"bonus rp. 5,00 untuk kamu! cukup kirim sms 2x hari ini untuk mendapatkan bonusnya, khusus hari ini saja! t483",promo
nama1 itu msh pake db aku yg lama itu msh anomali bisa nyesuain ga,normal
"wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun.",normal
"isi saldo nya bisa di grapari, indomaret, ato di tf dari bca",normal
hot promo! dptkan extra pulsa tsel 50rb dg beli paket internet pertama kali di my telkomsel app sjk 25 agsts 25 sept. cek detail paketnya di tsel.me mytsel1,promo
"pusatnya disitu dy di bandung pasir koja, cmn bangunan lg dibangun, jd td aku di interview di toko nya, toko bangunan",normal
"penawaran khusus! bonus kuota 500mb 1hr ! cukup isi ulang min. 5,00 hari ini! ayo buruan isi pulsa sekarang juga. t536",promo
surat keputusan dari tri care indonesia no.xv 2016 pin pemenang anda 67ytg44 terpilih mendapatkan cek sebesar 45jt info kunjungi,penipuan
"semangat yang ibu gita, ibu putri dan bapak adison esok hari. semoga diberikan yang terbaik. aamiin",normal
gaais penamaannya kyk nama1 nih biar rapih,normal
"plgn yth,saya h.rian harino opoerator tri tlah menghubungi anda tapi tidak tersambung jdi informasi ini saya sampaikan lwt sms,sblum hadiah jatuh tempo,selamat no tri anda menang undian dari 3care no pin pemenang anda mg75k7,segera hub kantor tri jakarta 0895 349 076 577 info klik",penipuan
"alhamdulillah, makasih yaa udah meluangkan waktu",normal
"itu teh sebenernya krna terlalu sakit sma orang itu nuy, padahal kalo udah nemu orang baru mah pasti rasanya beda",normal
ke kantor siang aja..,normal
diskon 50 kuota nelpon 20 menit ke smua operator! cuma rp7rb normal rp14rb dg masa aktif panjang. balas sms ini dgn ketik tri. hanya hari ini! v712,promo
"nama1 bisa lembar yg kamrin bisa minta ke pak anto. tp ibu minta yg di bab 2 harus diparafrase kalimatnya, jgn copy paste semua.",normal
"assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini 0852 3173 7479, mau telpon nanti di rumah sakit saya ganti uangnya.",penipuan
ini rekeningnya bank bri.no rek.018801.006474.53.2.a n ir mayani,penipuan
wow! promo diperpanjang sd 13 agt. khusus kamu! tukar hp smartfrenmu dengan andromax e lte cuma 709rb dr 99rb. ayo datangi gallery smartfren terdekat.,promo
"registrasi gagal. harap masukan tanggal yang benar 01 31 , dengan format ddmmyy",normal
selamat tcash tap anda telah aktif dengan sn 10011398478 tgl. 21 08 2016 12 36 10 info 800,normal
ayah isikan pulsa xl 50rb di no 0818643929 sekarang penting,penipuan
daptkn e tiket pesawat promo melayani domestik and internasional booking online cepat aman hub 08521784577 08231020477 link,penipuan
gunakan tcash untuk bayar tagihan listrik atau beli token listrik! cukup hubungi 800 dan pilih menu pembayaran atau pembelian,promo
udah aa aa semua sih. makan mah sama cewek2. lupa ih mukanya dy aku gak bisa nginget wajah hahaha,normal
besok kekantor saya tunggu jam 9 ya..,normal
